ID,PLACE_NAME,CATEGORY,INF,VAL_rcp85_5.0_2050_RL1,PCT_rcp85_5.0_2050_RL1,VAL_rcp85_5.0_2100_RL1,PCT_rcp85_5.0_2100_RL1,VAL_rcp85_5.0_2200_RL1,PCT_rcp85_5.0_2200_RL1,VAL_rcp85_50.0_2050_RL1,PCT_rcp85_50.0_2050_RL1,VAL_rcp85_50.0_2100_RL1,PCT_rcp85_50.0_2100_RL1,VAL_rcp85_50.0_2200_RL1,PCT_rcp85_50.0_2200_RL1,VAL_rcp85_95.0_2050_RL1,PCT_rcp85_95.0_2050_RL1,VAL_rcp85_95.0_2100_RL1,PCT_rcp85_95.0_2100_RL1,VAL_rcp85_95.0_2200_RL1,PCT_rcp85_95.0_2200_RL1,VAL_rcp85_99.0_2050_RL1,PCT_rcp85_99.0_2050_RL1,VAL_rcp85_99.0_2100_RL1,PCT_rcp85_99.0_2100_RL1,VAL_rcp85_99.0_2200_RL1,PCT_rcp85_99.0_2200_RL1
MA_County_25005,Bristol ,Population,548285,1528,0.3,2074,0.4,3911,0.7,1976,0.4,3459,0.6,6836,1.2,2476,0.5,5233,1,12960,2.4,2742,0.5,6499,1.2,43811,8
TX_County_48245,Jefferson ,Population,252263,612,0.2,932,0.4,2381,0.9,721,0.3,1530,0.6,6340,2.5,835,0.3,2450,1,111406,44.2,913,0.4,3637,1.4,186066,73.8
AK_County_02261,Valdez-Cordova Census Area,Population,9636,64,0.7,61,0.6,47,0.5,68,0.7,73,0.8,96,1,72,0.7,93,1,280,2.9,75,0.8,119,1.2,463,4.8
FL_County_12051,Hendry ,Population,39086,1,0,2,0,169,0.4,1,0,92,0.2,770,2,2,0,349,0.9,5323,13.6,4,0,537,1.4,30790,78.8
NY_County_36005,Bronx ,Population,1385073,365,0,896,0.1,5463,0.4,768,0.1,3872,0.3,17692,1.3,1325,0.1,11172,0.8,104594,7.6,1736,0.1,16313,1.2,220816,15.9
CA_County_06015,Del Norte ,Population,28610,22,0.1,23,0.1,24,0.1,23,0.1,28,0.1,317,1.1,24,0.1,221,0.8,1332,4.7,24,0.1,341,1.2,2472,8.6
NC_County_37117,Martin ,Population,24505,27,0.1,47,0.2,160,0.7,37,0.2,99,0.4,312,1.3,50,0.2,187,0.8,840,3.4,56,0.2,249,1,1259,5.1
VA_County_51670,Hopewell city,Population,22591,33,0.1,51,0.2,143,0.6,45,0.2,109,0.5,261,1.2,66,0.3,185,0.8,468,2.1,78,0.3,246,1.1,753,3.3
VA_County_51830,Williamsburg city,Population,14068,61,0.4,75,0.5,109,0.8,69,0.5,96,0.7,145,1,76,0.5,117,0.8,231,1.6,80,0.6,132,0.9,365,2.6
AK_County_02060,Bristol Bay Borough,Population,997,6,0.6,5,0.5,3,0.3,7,0.7,6,0.6,6,0.6,7,0.7,8,0.8,40,4,7,0.7,15,1.5,65,6.5
CA_County_06111,Ventura ,Population,823239,216,0,353,0,2766,0.3,246,0,1170,0.1,17587,2.1,294,0,6049,0.7,45275,5.5,353,0,13925,1.7,76672,9.3
NY_County_36039,Greene ,Population,49221,61,0.1,100,0.2,240,0.5,93,0.2,212,0.4,443,0.9,138,0.3,336,0.7,704,1.4,159,0.3,422,0.9,1077,2.2
LA_County_22087,St. Bernard ,Population,35895,217,0.6,233,0.6,238,0.7,223,0.6,236,0.7,241,0.7,228,0.6,237,0.7,245,0.7,230,0.6,238,0.7,245,0.7
AK_County_02110,Juneau City and Borough,Population,31252,202,0.6,174,0.6,132,0.4,204,0.7,184,0.6,162,0.5,207,0.7,204,0.7,235,0.8,209,0.7,219,0.7,438,1.4
TX_County_48391,Refugio ,Population,7383,11,0.1,21,0.3,56,0.8,15,0.2,31,0.4,115,1.6,18,0.2,55,0.7,255,3.5,20,0.3,74,1,624,8.5
NY_County_36119,Westchester ,Population,949113,543,0.1,1032,0.1,3296,0.3,968,0.1,2705,0.3,7960,0.8,1483,0.2,5303,0.6,15777,1.7,1898,0.2,7429,0.8,28111,3
PA_County_42045,Delaware ,Population,558979,667,0.1,910,0.2,2745,0.5,844,0.2,2087,0.4,4900,0.9,1086,0.2,3517,0.6,9859,1.8,1305,0.2,4458,0.8,18083,3.2
AK_County_02122,Kenai Peninsula Borough,Population,55400,311,0.6,244,0.4,124,0.2,334,0.6,280,0.5,241,0.4,367,0.7,349,0.6,680,1.2,389,0.7,478,0.9,1576,2.8
NC_County_37103,Jones ,Population,10153,16,0.2,21,0.2,45,0.4,19,0.2,35,0.3,92,0.9,23,0.2,57,0.6,310,3.1,26,0.3,77,0.8,923,9.1
VA_County_51181,Surry ,Population,7058,20,0.3,25,0.4,39,0.6,23,0.3,34,0.5,56,0.8,26,0.4,43,0.6,89,1.3,28,0.4,51,0.7,145,2.1
CA_County_06073,San Diego ,Population,3095142,2566,0.1,4552,0.1,7931,0.3,3575,0.1,6752,0.2,36738,1.2,4267,0.1,14373,0.5,81988,2.6,4631,0.1,29274,0.9,117393,3.8
CA_County_06085,Santa Clara ,Population,1781599,4394,0.2,4768,0.3,6153,0.3,4584,0.3,6264,0.4,11113,0.6,4801,0.3,9491,0.5,54122,3,4953,0.3,10900,0.6,98469,5.5
PA_County_42101,Philadelphia ,Population,1526006,933,0.1,2274,0.1,5146,0.3,2040,0.1,4148,0.3,17492,1.1,2858,0.2,7830,0.5,67288,4.4,3265,0.2,12661,0.8,132178,8.7
VA_County_51059,Fairfax ,Population,1081726,1370,0.1,1824,0.2,4220,0.4,1625,0.2,3285,0.3,6764,0.6,1966,0.2,5309,0.5,9360,0.9,2206,0.2,6388,0.6,15514,1.4
WA_County_53061,Snohomish ,Population,713312,1430,0.2,1823,0.3,2995,0.4,1629,0.2,2131,0.3,4622,0.6,1663,0.2,3463,0.5,6253,0.9,1848,0.3,4238,0.6,8448,1.2
MD_County_24510,Baltimore city,Population,620961,266,0,390,0.1,2355,0.4,326,0.1,1472,0.2,4149,0.7,542,0.1,3131,0.5,7446,1.2,668,0.1,3810,0.6,19509,3.1
MD_County_24025,Harford ,Population,244806,165,0.1,321,0.1,910,0.4,267,0.1,678,0.3,2080,0.8,372,0.2,1227,0.5,5635,2.3,434,0.2,1630,0.7,8725,3.6
VA_County_51149,Prince George ,Population,35725,34,0.1,42,0.1,106,0.3,40,0.1,78,0.2,342,1,45,0.1,195,0.5,529,1.5,51,0.1,319,0.9,911,2.6
CA_County_06013,Contra Costa ,Population,1048209,719,0.1,1018,0.1,2483,0.2,862,0.1,2497,0.2,16922,1.6,1053,0.1,4368,0.4,47984,4.6,1205,0.1,14661,1.4,71377,6.8
WA_County_53053,Pierce ,Population,795098,558,0.1,763,0.1,2004,0.3,612,0.1,1911,0.2,4585,0.6,743,0.1,2997,0.4,9633,1.2,852,0.1,4260,0.5,14143,1.8
NY_County_36087,Rockland ,Population,311680,378,0.1,544,0.2,1025,0.3,513,0.2,918,0.3,1698,0.5,676,0.2,1364,0.4,2473,0.8,754,0.2,1622,0.5,3382,1.1
LA_County_22071,Orleans ,Population,343452,504,0.1,1009,0.3,1355,0.4,604,0.2,1280,0.4,1386,0.4,719,0.2,1343,0.4,1448,0.4,784,0.2,1355,0.4,1463,0.4
NY_County_36027,Dutchess ,Population,297411,236,0.1,349,0.1,810,0.3,335,0.1,699,0.2,1431,0.5,460,0.2,1044,0.4,2002,0.7,529,0.2,1343,0.5,2503,0.8
ME_County_23027,Waldo ,Population,38786,50,0.1,62,0.2,103,0.3,62,0.2,97,0.3,167,0.4,76,0.2,141,0.4,289,0.7,83,0.2,168,0.4,509,1.3
TX_County_48489,Willacy ,Population,22134,3,0,8,0,53,0.2,5,0,25,0.1,178,0.8,7,0,82,0.4,238,1.1,10,0,158,0.7,710,3.2
TX_County_48239,Jackson ,Population,14075,8,0.1,19,0.1,60,0.4,11,0.1,36,0.3,160,1.1,15,0.1,59,0.4,597,4.2,17,0.1,80,0.6,810,5.8
AK_County_02230,Skagway Municipality,Population,968,4,0.4,3,0.3,1,0.1,4,0.4,3,0.3,1,0.1,4,0.4,4,0.4,4,0.4,4,0.4,4,0.4,6,0.6
DC_County_11001,District of Columbia,Population,601723,750,0.1,899,0.1,1383,0.2,843,0.1,1178,0.2,3677,0.6,933,0.2,1775,0.3,12764,2.1,988,0.2,2991,0.5,23031,3.8
FL_County_12117,Seminole ,Population,420712,52,0,80,0,782,0.2,70,0,192,0,2577,0.6,86,0,1318,0.3,7491,1.8,102,0,1900,0.5,16217,3.9
CA_County_06083,Santa Barbara ,Population,423895,12,0,33,0,668,0.2,21,0,507,0.1,3361,0.8,28,0,1136,0.3,12537,3,35,0,2701,0.6,20926,4.9
WA_County_53067,Thurston ,Population,252126,118,0,158,0.1,391,0.2,138,0.1,346,0.1,1074,0.4,154,0.1,800,0.3,2006,0.8,165,0.1,976,0.4,3015,1.2
HI_County_15001,Hawaii ,Population,185079,230,0.1,287,0.2,442,0.2,247,0.1,388,0.2,1084,0.6,269,0.1,617,0.3,3092,1.7,286,0.2,845,0.5,5071,2.7
LA_County_22055,Lafayette ,Population,221578,129,0.1,228,0.1,1017,0.5,148,0.1,329,0.1,2749,1.2,173,0.1,566,0.3,12956,5.8,184,0.1,970,0.4,46900,21.2
NC_County_37147,Pitt ,Population,167978,115,0.1,170,0.1,443,0.3,142,0.1,316,0.2,982,0.6,180,0.1,540,0.3,3540,2.1,205,0.1,769,0.5,8418,5
NY_County_36111,Ulster ,Population,182493,148,0.1,217,0.1,399,0.2,207,0.1,358,0.2,581,0.3,264,0.1,490,0.3,848,0.5,293,0.2,557,0.3,1127,0.6
CA_County_06055,Napa ,Population,136465,211,0.2,245,0.2,307,0.2,225,0.2,303,0.2,812,0.6,242,0.2,374,0.3,7566,5.5,267,0.2,621,0.5,16015,11.7
NH_County_33017,Strafford ,Population,123143,67,0.1,87,0.1,184,0.1,89,0.1,170,0.1,450,0.4,117,0.1,355,0.3,911,0.7,133,0.1,458,0.4,1540,1.3
OR_County_41009,Columbia ,Population,49351,45,0.1,52,0.1,65,0.1,49,0.1,74,0.1,231,0.5,59,0.1,141,0.3,684,1.4,66,0.1,237,0.5,1461,3
TX_County_48199,Hardin ,Population,54635,1,0,12,0,135,0.2,1,0,100,0.2,608,1.1,1,0,137,0.3,1254,2.3,11,0,195,0.4,2062,3.8
AK_County_02100,Haines Borough,Population,2508,7,0.3,6,0.2,1,0,7,0.3,6,0.2,6,0.2,7,0.3,7,0.3,7,0.3,7,0.3,7,0.3,12,0.5
TX_County_48201,Harris ,Population,4086193,2215,0.1,3827,0.1,11146,0.3,2596,0.1,5946,0.1,28967,0.7,3114,0.1,9929,0.2,70641,1.7,3433,0.1,15333,0.4,202626,5
PA_County_42017,Bucks ,Population,625104,371,0.1,500,0.1,1088,0.2,469,0.1,899,0.1,2100,0.3,590,0.1,1417,0.2,6550,1,657,0.1,1885,0.3,19153,3.1
CA_County_06097,Sonoma ,Population,483873,246,0.1,314,0.1,494,0.1,271,0.1,445,0.1,2187,0.5,303,0.1,1127,0.2,7727,1.6,324,0.1,1692,0.3,12743,2.6
